sample_id,method_id,start_line,end_line,main_st_number,ncss,var_usage,were_missed,is_last_var_declaration,lines,diff_lines_var_usage,diff_lines_main_st,div_lines_var_usage,div_lines_main_st,non_spaces_symb_avg,non_spaces_symb_variance
199.0,method_19.java,55,63,4,7,6,1,False,8,2,4,1.3333333333333333,2.0,50.22222222222222,887.283950617284
9.0,method_0.java,24,33,4,8,4,1,False,9,5,5,2.25,2.25,22.8,354.36
13.0,method_0.java,25,32,4,7,4,1,False,7,3,3,1.75,1.75,25.0,376.5
38.0,method_3.java,11,18,4,7,2,1,False,7,5,3,3.5,1.75,40.625,1746.234375
42.0,method_3.java,12,20,4,7,1,1,True,8,7,4,8.0,2.0,26.125,597.109375
47.0,method_3.java,21,32,4,9,2,1,False,11,9,7,5.5,2.75,38.44444444444444,530.6913580246913
55.0,method_4.java,14,21,4,9,6,1,False,7,1,3,1.1666666666666667,1.75,42.375,461.984375
74.0,method_7.java,9,15,4,7,3,1,False,6,3,2,2.0,1.5,33.142857142857146,778.6938775510205
78.0,method_8.java,3,13,4,8,3,1,False,10,7,6,3.3333333333333335,2.5,15.0,198.22222222222223
86.0,method_8.java,38,55,4,11,6,1,False,17,11,13,2.8333333333333335,4.25,20.285714285714285,316.91836734693874
101.0,method_10.java,25,31,3,6,6,1,False,6,0,3,1.0,2.0,34.142857142857146,805.8367346938776
105.0,method_11.java,62,72,3,7,4,1,False,10,6,7,2.5,3.3333333333333335,27.444444444444443,390.2469135802469
107.0,method_11.java,63,71,3,6,2,1,False,8,6,5,4.0,2.6666666666666665,28.428571428571427,346.2448979591836
121.0,method_13.java,3,13,3,8,2,1,False,10,8,7,5.0,3.3333333333333335,25.363636363636363,1235.685950413223
122.0,method_13.java,16,24,3,7,1,1,False,8,7,5,8.0,2.6666666666666665,30.88888888888889,1570.9876543209875
123.0,method_13.java,27,35,3,7,1,1,False,8,7,5,8.0,2.6666666666666665,31.555555555555557,1614.6913580246915
164.0,method_16.java,52,58,3,6,3,1,False,6,3,3,2.0,2.0,20.0,207.71428571428572
171.0,method_17.java,56,62,3,7,3,1,False,6,3,3,2.0,2.0,16.285714285714285,129.06122448979593
24.0,method_1.java,8,15,3,7,4,1,False,7,3,4,1.75,2.3333333333333335,23.0,341.25
41.0,method_3.java,12,18,3,6,1,1,False,6,5,3,6.0,2.0,27.714285714285715,662.2040816326531
45.0,method_3.java,20,26,3,6,2,1,False,6,4,3,3.0,2.0,35.2,509.36
79.0,method_8.java,8,13,3,6,2,1,False,5,3,2,2.5,1.6666666666666667,17.5,239.58333333333334
88.0,method_8.java,44,54,3,8,4,1,False,10,6,7,2.5,3.3333333333333335,21.77777777777778,334.6172839506173
102.0,method_11.java,41,47,2,5,3,1,False,6,3,4,2.0,3.0,32.666666666666664,839.2222222222222
106.0,method_11.java,63,69,2,5,1,1,False,6,5,4,6.0,3.0,26.5,377.9166666666667
120.0,method_12.java,23,29,2,6,2,1,False,6,4,4,3.0,3.0,30.166666666666668,512.8055555555555
89.0,method_8.java,47,51,2,5,4,1,False,4,0,2,1.0,2.0,20.8,258.96
